Green-legged partridge,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'body mass': '250 g', 'ecoregion': 'Southern Vietnam Lowland Dry Forests', 'geographic distribution includes': 'Cambodia', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Green-naped tanager,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '23 g', 'conservation status': 'near threatened', 'geographic distribution includes': 'Panama', 'habitat': 'tropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Green-rumped parrotlet,"{'auditory system': 'tympanic middle ear', 'behavioral circadian rhythm': 'diurnal', 'biogeographic realm': 'The Neotropics', 'body mass': '28 g', 'geographic distribution includes': 'Suriname', 'growth rate': '0.235 /day', 'habitat': 'scrubland', 'life span': '11.6 years', 'locomotion': 'flight', 'population trend': 'Decreasing', 'visual system': 'corneal eyes', 'weight': '24 g'}"
Green-striped brushfinch,"{'auditory system': 'tympanic middle ear', 'geographic distribution includes': 'Ecuador', 'habitat': 'montane forest,terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'type specimen repository': '(MLZ) - MLZ Bird Collection (Arctos) {http://www.oxy.edu/moore-lab-zoology}', 'visual system': 'corneal eyes'}"
Green-tailed bristlebill,"{'auditory system': 'tympanic middle ear', 'body mass': '37.5 g', 'conservation status': 'near threatened', 'geographic distribution includes': 'Cameroon', 'habitat': 'tropical,terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Green-tailed emerald,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'conservation status': 'cites appendix ii', 'ecoregion': 'Venezuelan Andes Montane Forests', 'geographic distribution includes': 'Venezuela', 'habitat': 'subtropical', 'hearing range': '5000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'visits flowers of': 'corneal eyes'}"
Green-tailed goldenthroat,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '4.2 g', 'conservation status': 'cites appendix ii', 'geographic distribution includes': 'Venezuela', 'habitat': 'tropical,terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Unknown', 'visual system': 'corneal eyes'}"
Green-tailed jacamar,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '29 g', 'geographic distribution includes': 'Brazil', 'habitat': 'savanna,freshwater habitat', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'type specimen repository': 'University Museum of Zoology, Cambridge', 'visual system': 'corneal eyes'}"
Green-tailed sunbird,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'body mass': '8 g', 'geographic distribution includes': 'Vietnam', 'habitat': 'tropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'type specimen repository': 'Harvard UNiversity, Museum of Comparative Zoology', 'visual system': 'corneal eyes'}"
Green-tailed towhee,"{'auditory system': 'tympanic middle ear', 'behavioral circadian rhythm': 'diurnal', 'biogeographic realm': 'The Neotropics', 'body mass': '37.3 g', 'geographic distribution includes': 'United States', 'life span': '7.7 years', 'locomotion': 'flight', 'population trend': 'Stable', 'prenatal development duration': '12 days', 'type specimen repository': 'Harvard UNiversity, Museum of Comparative Zoology', 'visual system': 'corneal eyes', 'weight': '28.88 g'}"
Green-tailed trainbearer,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '3.7 g', 'eats': '1.177 pg', 'genome size': 'Peru', 'geographic distribution includes': 'tropical', 'habitat': 'terrestrial,bipedal movement', 'locomotion': 'Stable', 'population trend': 'corneal eyes'}"
Green-tailed warbler,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '15.2 g', 'ecoregion': 'Hispaniolan Pine Forests', 'geographic distribution includes': 'The Dominican Republic', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Green-thighed parrot,"{'auditory system': 'tympanic middle ear', 'behavioral circadian rhythm': 'diurnal', 'biogeographic realm': 'The Neotropics', 'body mass': '155 g', 'eats': 'United States', 'geographic distribution includes': 'terrestrial', 'habitat': '26 years', 'life span': 'flight', 'locomotion': 'Decreasing', 'population trend': 'corneal eyes', 'visual system': '155 g'}"
Green-throated carib,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '6.9 g', 'conservation status': 'cites appendix ii', 'eats': 'British Virgin Islands', 'geographic distribution includes': 'terrestrial', 'habitat': '20 dB', 'hearing threshold': 'flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Unknown', 'population trend': 'corneal eyes'}"
Green-throated mango,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '7.5 g', 'conservation status': 'cites appendix ii', 'geographic distribution includes': 'Venezuela', 'habitat': 'swamp,terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Green-throated mountaingem,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '9 g', 'conservation status': 'cites appendix ii', 'geographic distribution includes': 'Guatemala', 'habitat': 'tropical,terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Green-throated sunbird,"{'auditory system': 'tympanic middle ear', 'body mass': '14 g', 'eats': 'Angola', 'geographic distribution includes': 'terrestrial', 'habitat': '5000 Hz', 'hearing range': '10 dB', 'hearing threshold': 'bipedal movement', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Stable', 'population trend': 'corneal eyes'}"
Green-winged pytilia,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'Afrotropics', 'body mass': '15 g', 'foraging habitat': 'terrestrial', 'genome size': '1.422 pg', 'geographic distribution includes': 'United States', 'habitat': 'terrestrial', 'locomotion': 'flight', 'population trend': 'Stable', 'trophic guild': 'granivore', 'type specimen repository': 'NHMUK', 'visual system': 'corneal eyes'}"
Green-winged saltator,"{'mutualistic with': 'tympanic middle ear', 'auditory system': 'The Neotropics', 'biogeographic realm': '54 g', 'body mass': 'South Atlantic', 'eats': 'tropical', 'geographic distribution includes': 'terrestrial', 'habitat': 'flight,apatite', 'locomotion': 'Decreasing', 'mineralized skeleton contains': 'corneal eyes'}"
Green-winged teal,"{'host of': 'tympanic middle ear', 'parasitized by': 'United States', 'auditory system': 'tundra', 'geographic distribution includes': 'freshwater habitat', 'habitat': '5000 Hz,20 dB', 'hearing range': 'flight', 'hearing threshold': 'apatite', 'locomotion': 'Increasing', 'mineralized skeleton contains': 'corneal eyes'}"
Greenish elaenia,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'eats': 'PatíA Valley Dry Forests', 'ecoregion': 'United States', 'geographic distribution includes': 'tropical', 'habitat': 'terrestrial,10 dB', 'hearing threshold': 'flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Stable', 'population trend': 'corneal eyes'}"
Greenish puffleg,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '6 g', 'conservation status': 'cites appendix ii', 'genome size': '1.108 pg', 'geographic distribution includes': 'Colombia', 'habitat': 'tropical,terrestrial', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Greenish schiffornis,"{'mutualistic with': 'tympanic middle ear', 'auditory system': 'The Neotropics', 'biogeographic realm': '27 g', 'body mass': 'South Atlantic', 'eats': 'montane forest', 'geographic distribution includes': 'terrestrial', 'habitat': 'flight,Decreasing', 'locomotion': 'Harvard UNiversity, Museum of Comparative Zoology', 'population trend': 'corneal eyes'}"
Greenish tyrannulet,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '12 g', 'ecoregion': 'Alto Paraná Atlantic Forests', 'geographic distribution includes': 'Brazil', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Greenish warbler,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the palearctic', 'body mass': '8 g', 'ecoregion': 'Northwestern Thorn Scrub Forests', 'foraging habitat': 'terrestrial', 'geographic distribution includes': 'Indian Ocean', 'habitat': 'mixed forest', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'trophic guild': 'invertivore', 'visual system': 'corneal eyes'}"
Greenish yellow finch,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '24.2 g', 'ecoregion': 'Central Andean Wet Puna', 'genome size': '1.32 pg', 'geographic distribution includes': 'Bolivia', 'habitat': 'subtropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Grenada dove,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '200 g', 'conservation status': 'critically endangered', 'geographic distribution includes': 'Grenada', 'habitat': 'tropical,terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Grenada flycatcher,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '37 g', 'ecoregion': 'Lesser Antillean Dry Forests', 'geographic distribution includes': 'Grenada', 'habitat': 'tropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Grey antbird,"{'auditory system': 'tympanic middle ear', 'behavioral circadian rhythm': 'diurnal', 'biogeographic realm': 'The Neotropics', 'body mass': '15.7 g', 'geographic distribution includes': 'South Pacific', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Grey antwren,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '8.6 g', 'ecoregion': 'Monte Alegre Varzea', 'geographic distribution includes': 'South Pacific', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Grey apalis,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'Afrotropics', 'body mass': '11 g', 'ecoregion': 'Masai Xeric Grasslands And Shrublands', 'geographic distribution includes': 'Angola', 'habitat': 'tropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Grey bunting,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the palearctic', 'body mass': '30 g', 'ecoregion': 'Trans-Baikal Bald Mountain Tundra', 'geographic distribution includes': 'Russia', 'habitat': 'temperate,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Grey bush chat,"{'auditory system': 'tympanic middle ear', 'body mass': '16 g', 'eats': 'Bhutan', 'geographic distribution includes': 'montane forest', 'habitat': 'terrestrial,5000 Hz', 'hearing range': '10 dB', 'hearing threshold': 'bipedal movement', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Stable', 'population trend': 'corneal eyes'}"
Grey butcherbird,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'eats': 'Great Victoria Desert', 'ecoregion': 'North Pacific', 'geographic distribution includes': 'coastal', 'habitat': '5000 Hz', 'hearing range': '10 dB', 'hearing threshold': 'flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'CORRUPTED VALUE for trait R20-PK36794282', 'preys on': 'corneal eyes'}"
Grey crested tit,"{'auditory system': 'tympanic middle ear', 'body mass': '14 g', 'geographic distribution includes': 'Bhutan', 'habitat': 'temperate,terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Grey crow,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'body mass': '635 g', 'ecoregion': 'Trobriand Islands Rain Forests', 'geographic distribution includes': 'Indonesia', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Grey crowned crane,"{'auditory system': 'tympanic middle ear', 'geographic distribution includes': 'Mozambique', 'hearing range': '5000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Grey cuckooshrike,{}
Grey currawong,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'body mass': '500 g', 'ecoregion': 'Central Ranges Xeric Scrub', 'geographic distribution includes': 'Indian Ocean', 'habitat': 'coastal,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
